로컬푸드인증번호,인증유효시작일자,인증유효종료일자,인증취소일자,사업장도로명주소,사업장지번주소,생산지도로명주소,생산지지번주소,품목명,재배면적,재배규모,인증부여일자,사업자명,사업자등록번호,전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
HYG-162,2021-09-01,2031-09-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 병곡면 다볕길 94,,칡청+달맞이꽃씨유,,122,2021-09-01,청운당농산,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-163,2021-09-01,2031-09-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 수동면 사근산성길 35-4,,굼벵이환,,123,2021-09-01,굼찬농장,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-164,2021-09-01,2031-09-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 안의면 유동길 56-33,,메론,,124,2021-09-01,현애농장,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-165,2021-09-01,2031-09-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 학당길 9-11,,차요태+열매마,,125,2021-09-01,자연농부,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-166,2021-09-01,2031-09-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 서하면 오현길 9,,포도,,126,2021-09-01,박영자,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-167,2021-09-01,2031-09-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 안의면 종로길 24-2,,꿀,,127,2021-09-01,이화인양봉,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-168,2021-09-01,2031-09-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 안의면 중동길 24,,포도,,128,2021-09-01,이상식,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-169,2021-09-01,2031-09-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 서하면 서하월평샛길 2-1,,사과,,129,2021-09-01,조경제,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-170,2021-09-01,2031-09-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 조동길 4,,샤인머스켓,,130,2021-09-01,최미라,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-171,2021-09-01,2031-09-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 한들로 36,,미숫가루,,131,2021-09-01,(주)패미로스,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-172,2021-09-01,2031-09-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 지곡면 정취길 66-32,,밀가루+쌀,,132,2021-09-01,지리산우리밀농산,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-173,2021-12-01,2031-12-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 병곡면 묘동길 60-5,,사과,,133,2021-12-01,박연옥,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-174,2021-12-01,2031-12-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,,경상남도 함양군 병곡면 도천리 104-7,알밤,,134,2021-12-01,하선국,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-175,2022-01-01,2032-01-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 지곡면 남효중방로 84-1,,한라봉+레드향+천혜향,,135,2022-01-01,강석균,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-176,2022-01-01,2032-01-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 수동면 하교내백로 202-15,,사과,,136,2022-01-01,엄미현,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-177,2022-01-01,2032-01-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 함양관동길 30,,서복태,,137,2022-01-01,김형철,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-178,2022-01-01,2032-01-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 병곡면 함양남서로 1752,,함양애주+지리산애주,,138,2022-01-01,이종근,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-179,2022-01-01,2032-01-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 안의면 광풍로 102,,키고리+스카프+가방+두건,,139,2022-01-01,김은희,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
