"월별(1)","시점",도시가스 (천㎥),도시가스 (천㎥),프로판 (ton),프로판 (ton),부탄 (ton),부탄 (ton)
"월별(1)","시점",판매소수 (개),판매량,판매소수 (개),판매량,판매소수 (개),판매량
"계","2010",1,1275714,311,91657,64,289391
"계","2011",1,1297954,291,107349,67,282017
"계","2012",1,1359726,280,104295,71,268913
"계","2013",1,1318036,280,68331,69,259218
"계","2014",1,1313073,276,61853,62,243061
"계","2015",1,1296981,277,78931,70,236769
"계","2016",1,1361004,277,87297,70,225991
"계","2017",1,1427371,265,102562,65,211675
"계","2018",1,1461840,268,100647,66,199024
"계","2019",1,1428639,266,106122,66,194332
"계","2020",1,1408893,261,105919,65,169612
"1월","2010",1,179086,311,8775,64,26227
"1월","2011",1,200683,291,12137,67,25458
"1월","2012",1,178441,280,12039,71,25942
"1월","2013",1,191681,281,7937,69,22432
"1월","2014",1,175047,275,7329,62,20524
"1월","2015",1,177213,276,8213,62,19958
"1월","2016",1,192790,277,8257,70,18119
"1월","2017",1,188340,265,11785,65,18984
"1월","2018",1,215573,268,12211,66,16984
"1월","2019",1,210982,266,13267,66,17250
"1월","2020",1,190840,261,12510,65,16436
"2월","2010",1,139496,311,8745,64,23518
"2월","2011",1,144076,291,10072,67,22023
"2월","2012",1,173008,278,11690,71,22813
"2월","2013",1,152480,280,6419,69,19797
"2월","2014",1,150507,275,6464,62,18646
"2월","2015",1,150835,276,7989,62,19899
"2월","2016",1,172558,277,7529,70,17948
"2월","2017",1,176003,265,10765,65,16716
"2월","2018",1,186204,268,9931,66,14716
"2월","2019",1,167223,266,10295,66,15361
"2월","2020",1,167473,261,9459,65,12336
"3월","2010",1,143581,311,8092,64,23959
"3월","2011",1,145930,291,13017,67,25698
"3월","2012",1,144653,280,10885,71,23422
"3월","2013",1,129637,280,6179,69,21448
"3월","2014",1,143724,275,6276,62,20380
"3월","2015",1,147748,276,7926,62,19932
"3월","2016",1,148808,277,8590,70,19482
"3월","2017",1,156492,265,9131,65,16931
"3월","2018",1,157745,268,9752,66,16431
"3월","2019",1,144388,266,10083,66,16019
"3월","2020",1,149045,261,9237,65,11867
"4월","2010",1,114671,311,8105,64,22909
"4월","2011",1,103965,291,11192,67,22857
"4월","2012",1,103329,281,7606,71,20557
"4월","2013",1,114523,280,5672,69,19772
"4월","2014",1,101976,275,5096,62,19913
"4월","2015",1,107320,276,5888,65,18056
"4월","2016",1,103696,277,7173,70,18335
"4월","2017",1,108379,265,6776,65,16472
"4월","2018",1,108188,268,7445,66,16860
"4월","2019",1,121169,266,8309,66,16322
"4월","2020",1,115783,261,7298,65,12877
"5월","2010",1,79649,311,7787,64,23615
"5월","2011",1,83355,291,10446,67,23492
"5월","2012",1,83927,280,6928,71,19868
"5월","2013",1,88225,280,5071,69,21423
"5월","2014",1,84307,275,4745,62,20412
"5월","2015",1,79993,276,6223,65,20410
"5월","2016",1,85581,277,7128,70,19411
"5월","2017",1,82001,265,6551,65,17693
"5월","2018",1,93931,268,7550,66,17634
"5월","2019",1,90821,266,6597,66,15719
"5월","2020",1,84634,261,8253,65,16126
"6월","2010",1,70646,311,7137,64,22361
"6월","2011",1,74141,291,6815,67,21185
"6월","2012",1,74280,280,6794,71,20406
"6월","2013",1,72520,279,4794,69,21398
"6월","2014",1,71273,276,4213,62,20348
"6월","2015",1,74101,276,5126,65,17975
"6월","2016",1,75733,277,5771,70,17731
"6월","2017",1,79125,265,6264,65,17532
"6월","2018",1,77279,268,6135,66,16710
"6월","2019",1,79148,266,5345,66,14764
"6월","2020",1,73876,261,5905,65,14282
"7월","2010",1,68554,311,5928,64,24491
"7월","2011",1,70168,291,8118,67,24649
"7월","2012",1,75623,280,6593,71,23088
"7월","2013",1,73740,280,4722,69,23671
"7월","2014",1,74293,276,4165,62,21374
"7월","2015",1,76227,276,6679,68,20913
"7월","2016",1,73754,277,6296,70,19111
"7월","2017",1,76376,265,6612,65,18523
"7월","2018",1,77269,268,6195,66,17544
"7월","2019",1,78992,266,7028,66,16504
"7월","2020",1,77494,261,7009,65,14725
"8월","2010",1,65293,311,6023,64,25393
"8월","2011",1,64615,291,9076,67,25570
"8월","2012",1,68263,280,7709,71,24995
"8월","2013",1,64914,279,3721,69,23023
"8월","2014",1,67698,276,3551,62,20840
"8월","2015",1,65733,276,5363,68,20767
"8월","2016",1,66741,277,6309,70,20587
"8월","2017",1,72262,265,7716,65,19838
"8월","2018",1,71037,268,6167,66,17793
"8월","2019",1,73847,266,6902,66,18291
"8월","2020",1,70507,261,6317,65,15337
"9월","2010",1,62398,311,6742,64,23564
"9월","2011",1,66426,291,7839,67,23129
"9월","2012",1,71611,279,7473,71,21903
"9월","2013",1,63962,280,4614,69,21585
"9월","2014",1,70148,276,3689,62,20025
"9월","2015",1,69305,276,5959,68,18970
"9월","2016",1,70137,277,8023,70,19100
"9월","2017",1,75554,265,7537,65,17289
"9월","2018",1,72533,268,6845,66,16561
"9월","2019",1,73547,266,6771,66,15307
"9월","2020",1,70848,261,7368,65,13608
"10월","2010",1,77985,311,6366,64,23173
"10월","2011",1,81153,291,5006,67,22233
"10월","2012",1,83074,280,7410,71,21605
"10월","2013",1,81581,280,4733,69,20560
"10월","2014",1,84946,276,4531,62,20231
"10월","2015",1,84487,277,6147,70,20339
"10월","2016",1,82216,277,6513,70,19173
"10월","2017",1,82870,265,8051,65,17466
"10월","2018",1,94793,268,8016,66,15343
"10월","2019",1,87861,266,9717,66,17102
"10월","2020",1,85288,261,8634,65,14132
"11월","2010",1,113800,311,8560,64,23772
"11월","2011",1,99188,291,5304,67,20067
"11월","2012",1,122244,280,8610,71,21184
"11월","2013",1,117201,280,6550,69,21270
"11월","2014",1,109302,276,4499,62,18964
"11월","2015",1,108315,277,6231,70,19640
"11월","2016",1,122259,277,7826,70,18373
"11월","2017",1,125300,265,9304,65,16125
"11월","2018",1,125270,268,8899,66,15513
"11월","2019",1,117687,266,9885,66,15517
"11월","2020",1,122942,261,10871,65,14834
"12월","2010",1,160555,311,9397,64,26409
"12월","2011",1,164254,291,8328,67,25656
"12월","2012",1,181273,280,10557,71,23130
"12월","2013",1,167572,280,7920,69,22839
"12월","2014",1,179852,276,7295,62,21404
"12월","2015",1,155704,277,7185,70,19910
"12월","2016",1,166731,277,7881,70,18623
"12월","2017",1,204669,265,12070,65,18106
"12월","2018",1,182018,268,11501,66,16936
"12월","2019",1,182975,266,11923,66,16176
"12월","2020",1,200163,261,13058,65,13052
