"시점","월별(1)",도시가스 (천㎥),도시가스 (천㎥),프로판 (ton),프로판 (ton),부탄 (ton),부탄 (ton)
"시점","월별(1)",판매소수 (개),판매량,판매소수 (개),판매량,판매소수 (개),판매량
"2010","1월",1,179086,311,8775,64,26227
"2010","2월",1,139496,311,8745,64,23518
"2010","3월",1,143581,311,8092,64,23959
"2010","4월",1,114671,311,8105,64,22909
"2010","5월",1,79649,311,7787,64,23615
"2010","6월",1,70646,311,7137,64,22361
"2010","7월",1,68554,311,5928,64,24491
"2010","8월",1,65293,311,6023,64,25393
"2010","9월",1,62398,311,6742,64,23564
"2010","10월",1,77985,311,6366,64,23173
"2010","11월",1,113800,311,8560,64,23772
"2010","12월",1,160555,311,9397,64,26409
"2011","1월",1,200683,291,12137,67,25458
"2011","2월",1,144076,291,10072,67,22023
"2011","3월",1,145930,291,13017,67,25698
"2011","4월",1,103965,291,11192,67,22857
"2011","5월",1,83355,291,10446,67,23492
"2011","6월",1,74141,291,6815,67,21185
"2011","7월",1,70168,291,8118,67,24649
"2011","8월",1,64615,291,9076,67,25570
"2011","9월",1,66426,291,7839,67,23129
"2011","10월",1,81153,291,5006,67,22233
"2011","11월",1,99188,291,5304,67,20067
"2011","12월",1,164254,291,8328,67,25656
"2012","1월",1,178441,280,12039,71,25942
"2012","2월",1,173008,278,11690,71,22813
"2012","3월",1,144653,280,10885,71,23422
"2012","4월",1,103329,281,7606,71,20557
"2012","5월",1,83927,280,6928,71,19868
"2012","6월",1,74280,280,6794,71,20406
"2012","7월",1,75623,280,6593,71,23088
"2012","8월",1,68263,280,7709,71,24995
"2012","9월",1,71611,279,7473,71,21903
"2012","10월",1,83074,280,7410,71,21605
"2012","11월",1,122244,280,8610,71,21184
"2012","12월",1,181273,280,10557,71,23130
"2013","1월",1,191681,281,7937,69,22432
"2013","2월",1,152480,280,6419,69,19797
"2013","3월",1,129637,280,6179,69,21448
"2013","4월",1,114523,280,5672,69,19772
"2013","5월",1,88225,280,5071,69,21423
"2013","6월",1,72520,279,4794,69,21398
"2013","7월",1,73740,280,4722,69,23671
"2013","8월",1,64914,279,3721,69,23023
"2013","9월",1,63962,280,4614,69,21585
"2013","10월",1,81581,280,4733,69,20560
"2013","11월",1,117201,280,6550,69,21270
"2013","12월",1,167572,280,7920,69,22839
"2014","1월",1,175047,275,7329,62,20524
"2014","2월",1,150507,275,6464,62,18646
"2014","3월",1,143724,275,6276,62,20380
"2014","4월",1,101976,275,5096,62,19913
"2014","5월",1,84307,275,4745,62,20412
"2014","6월",1,71273,276,4213,62,20348
"2014","7월",1,74293,276,4165,62,21374
"2014","8월",1,67698,276,3551,62,20840
"2014","9월",1,70148,276,3689,62,20025
"2014","10월",1,84946,276,4531,62,20231
"2014","11월",1,109302,276,4499,62,18964
"2014","12월",1,179852,276,7295,62,21404
"2015","1월",1,177213,276,8213,62,19958
"2015","2월",1,150835,276,7989,62,19899
"2015","3월",1,147748,276,7926,62,19932
"2015","4월",1,107320,276,5888,65,18056
"2015","5월",1,79993,276,6223,65,20410
"2015","6월",1,74101,276,5126,65,17975
"2015","7월",1,76227,276,6679,68,20913
"2015","8월",1,65733,276,5363,68,20767
"2015","9월",1,69305,276,5959,68,18970
"2015","10월",1,84487,277,6147,70,20339
"2015","11월",1,108315,277,6231,70,19640
"2015","12월",1,155704,277,7185,70,19910
"2016","1월",1,192790,277,8257,70,18119
"2016","2월",1,172558,277,7529,70,17948
"2016","3월",1,148808,277,8590,70,19482
"2016","4월",1,103696,277,7173,70,18335
"2016","5월",1,85581,277,7128,70,19411
"2016","6월",1,75733,277,5771,70,17731
"2016","7월",1,73754,277,6296,70,19111
"2016","8월",1,66741,277,6309,70,20587
"2016","9월",1,70137,277,8023,70,19100
"2016","10월",1,82216,277,6513,70,19173
"2016","11월",1,122259,277,7826,70,18373
"2016","12월",1,166731,277,7881,70,18623
"2017","1월",1,188340,265,11785,65,18984
"2017","2월",1,176003,265,10765,65,16716
"2017","3월",1,156492,265,9131,65,16931
"2017","4월",1,108379,265,6776,65,16472
"2017","5월",1,82001,265,6551,65,17693
"2017","6월",1,79125,265,6264,65,17532
"2017","7월",1,76376,265,6612,65,18523
"2017","8월",1,72262,265,7716,65,19838
"2017","9월",1,75554,265,7537,65,17289
"2017","10월",1,82870,265,8051,65,17466
"2017","11월",1,125300,265,9304,65,16125
"2017","12월",1,204669,265,12070,65,18106
"2018","1월",1,215573,268,12211,66,16984
"2018","2월",1,186204,268,9931,66,14716
"2018","3월",1,157745,268,9752,66,16431
"2018","4월",1,108188,268,7445,66,16860
"2018","5월",1,93931,268,7550,66,17634
"2018","6월",1,77279,268,6135,66,16710
"2018","7월",1,77269,268,6195,66,17544
"2018","8월",1,71037,268,6167,66,17793
"2018","9월",1,72533,268,6845,66,16561
"2018","10월",1,94793,268,8016,66,15343
"2018","11월",1,125270,268,8899,66,15513
"2018","12월",1,182018,268,11501,66,16936
"2019","1월",1,210982,266,13267,66,17250
"2019","2월",1,167223,266,10295,66,15361
"2019","3월",1,144388,266,10083,66,16019
"2019","4월",1,121169,266,8309,66,16322
"2019","5월",1,90821,266,6597,66,15719
"2019","6월",1,79148,266,5345,66,14764
"2019","7월",1,78992,266,7028,66,16504
"2019","8월",1,73847,266,6902,66,18291
"2019","9월",1,73547,266,6771,66,15307
"2019","10월",1,87861,266,9717,66,17102
"2019","11월",1,117687,266,9885,66,15517
"2019","12월",1,182975,266,11923,66,16176
"2020","1월",1,190840,261,12510,65,16436
"2020","2월",1,167473,261,9459,65,12336
"2020","3월",1,149045,261,9237,65,11867
"2020","4월",1,115783,261,7298,65,12877
"2020","5월",1,84634,261,8253,65,16126
"2020","6월",1,73876,261,5905,65,14282
"2020","7월",1,77494,261,7009,65,14725
"2020","8월",1,70507,261,6317,65,15337
"2020","9월",1,70848,261,7368,65,13608
"2020","10월",1,85288,261,8634,65,14132
"2020","11월",1,122942,261,10871,65,14834
"2020","12월",1,200163,261,13058,65,13052
