허가구역명,장소유형,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,푸드트럭운영대수,허가구역사용료,허가구역운영시작일자,허가구역운영종료일자,허가구역휴무일,허가구역평일운영시작시각,허가구역평일운영종료시각,허가구역주말운영시작시각,허가구역주말운영종료시각,1월운영시작시각,1월운영종료시각,2월운영시작시각,2월운영종료시각,3월운영시작시각,3월운영종료시각,4월운영시작시각,4월운영종료시각,5월운영시작시각,5월운영종료시각,6월운영시작시각,6월운영종료시각,7월운영시작시각,7월운영종료시각,8월운영시작시각,8월운영종료시각,9월운영시작시각,9월운영종료시각,10월운영시작시각,10월운영종료시각,11월운영시작시각,11월운영종료시각,12월운영시작시각,12월운영종료시각,판매제한품목,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
부산대학교내 장승터,6,부산광역시,금정구,부산광역시 금정구 부산대학로 63번길 2,부산광역시 금정구 장전동 40,35.23224315,129.0838247,1,0,2018-04-30,2018-05-04,토요일+일요일+공휴일,11:00,15:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,11:00,15:00,11:00,15:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,,부산광역시 금정구청,051-519-4414,2021-10-25,3350000,부산광역시 금정구
금양초등학교,6,부산광역시,금정구,부산광역시 금정구 중앙대로 1755,부산광역시 금정구 부곡동 63-27,35.24123566,129.0920249,1,0,2018-08-04,2018-08-05,평일,00:00,00:00,10:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,10:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,,부산광역시 금정구청,051-519-4414,2021-10-25,3350000,부산광역시 금정구
부산가톨릭대학교 로사리오광장,6,부산광역시,금정구,"부산광역시 금정구 오륜대로 57, 부산가톨릭대학교 로사리오광장 (부곡동)",부산광역시 금정구 부곡동 9,35.24467702,129.0968719,1,0,2019-09-25,2019-09-25,평일,00:00,00:00,10:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,10:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,,부산광역시 금정구청,051-519-4414,2021-10-25,3350000,부산광역시 금정구
호계2차현대홈타운,08,경기도,안양시,경기도 안양시 동안구 경수대로 462 (호계동 호계2차현대홈타운),,,,,매출액 15퍼센트(VAT별도),2020-09-21,2022-12-30,월+화+수+목+토+일,11:00,18:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 안양시청,031-8045-4313,2022-12-07,3830000,경기도 안양시
안양종합운동장,08,경기도,안양시,경기도 안양시 동안구 평촌대로 389,경기도 안양시 동안구 비산동 1023,,,,매출액 15퍼센트(VAT별도),2022-02-19,2022-10-15,토+일,09:00,18:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 안양시청,031-8045-4313,2022-12-07,3830000,경기도 안양시
은하수 한양아파트,08,경기도,안양시,경기도 안양시 동안구 동안로159번길 14 (비산동 은하수한양아파트),,,,,아파트 내부 규정,2022-05-23,2023-11-07,화+수+목+금+토+일,09:00,20:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 안양시청,031-8045-4316,2022-12-07,3830000,경기도 안양시
삼성래미안아파트,08,경기도,안양시,경기도 안양시 만안구 안양천서로 311(안양동 삼성래미안아파트),,,,,아파트 내부 규정,2018-09-13,2020-09-12,월+수+목+금+토+일,09:00,20:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 안양시청,031-8045-3323,2022-12-07,3830000,경기도 안양시
한라비발디아파트,08,경기도,안양시,경기도 안양시 만안구 박달로 453 (박달동 한라비발디아파트),,,,,아파트 내부 규정,2020-08-21,2021-04-11,월+화+수+금+토+일,09:00,20:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 안양시청,031-8045-3323,2022-12-07,3830000,경기도 안양시
중앙체육공원,04,전라북도,익산시,전라북도 익산시 하나로 322,전라북도 익산시 어양동 52,35.9497295074,126.9861273792,1,14300,2016-10-06,2019-10-05,무,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,,전라북도 익산시청,063-859-4692,2022-03-18,4680000,전라북도 익산시
강화군 화도면,8,인천광역시,강화군,,인천광역시 강화군 화도면 사기리 301-2,37.61059258,126.457179,1,200000,2019-09-06,2022-05-19,연중무휴,08:00,21:00,08:00,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,인천광역시 강화군청,032-930-3833,2022-02-28,3570000,인천광역시 강화군
교동면 난정저수지,8,인천광역시,강화군,,인천광역시 강화군 교동면 난정리 743-5,37.77623225,126.2302965,1,0,2020-10-15,2024-10-17,연중무휴,08:00,21:00,08:00,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,인천광역시 강화군청,032-930-3833,2022-02-28,3570000,인천광역시 강화군
