시도명,시군구명,도로명,지정사유,지정연도,도로폭,도로연장,도로차로수,보차분리여부,시작점위도,시작점경도,종료점위도,종료점경도,도로안내표지일련번호,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
경기도,수원시,수원천로,,,5,250,1,Y,37.277585,127.018739,37.275204,127.019511,,경기도 수원시 팔달구청,031-228-7435,2022-06-16,3740000,경기도 수원시
경기도,수원시,수원천로,,,5,440,1,Y,37.275204,127.019511,37.271522,127.017128,,경기도 수원시 팔달구청,031-228-7435,2022-06-16,3740000,경기도 수원시
경기도,수원시,수원천로,,,9,240,1,Y,37.285299,127.017971,37.281898,127.018384,,경기도 수원시 팔달구청,031-228-7435,2022-06-16,3740000,경기도 수원시
경기도,수원시,수원천로,,,4,240,1,Y,37.279592,127.018741,37.281795,127.018384,,경기도 수원시 팔달구청,031-228-7435,2022-06-16,3740000,경기도 수원시
경기도,수원시,수원천로,,,4,475,1,Y,37.275311,127.019973,37.279592,127.018741,,경기도 수원시 팔달구청,031-228-7435,2022-06-16,3740000,경기도 수원시
경기도,수원시,화서문로72번길,,,6,110,1,N,37.285835,127.015887,37.285041,127.016449,,경기도 수원시 팔달구청,031-228-7435,2022-06-16,3740000,경기도 수원시
경기도,수원시,화서문로16번길,,,6,500,1,N,37.285249,127.009808,37.284811,127.010696,,경기도 수원시 팔달구청,031-228-7435,2022-06-16,3740000,경기도 수원시
경기도,수원시,정조로886번길,,,7.5,170,1,Y,37.286967,127.015203,37.287269,127.017102,,경기도 수원시 팔달구청,031-228-7435,2022-06-16,3740000,경기도 수원시
경기도,수원시,정조로,,,8,70,1,Y,37.275161,127.016546,37.275199,127.015689,,경기도 수원시 팔달구청,031-228-7435,2022-06-16,3740000,경기도 수원시
경기도,수원시,신풍로,,,6,250,1,Y,37.283251,127.014783,37.285426,127.014072,,경기도 수원시 팔달구청,031-228-7435,2022-06-16,3740000,경기도 수원시
경기도,수원시,수원천로 299번길,,,6,45,1,Y,37.274094,127.019034,37.274162,127.018027,,경기도 수원시 팔달구청,031-228-7435,2022-06-16,3740000,경기도 수원시
경기도,수원시,아주로47번길,,,8,85,1,N,37.279137,127.043704,37.279007,127.041106,,경기도 수원시 팔달구청,031-228-7435,2022-06-16,3740000,경기도 수원시
경기도,수원시,아주로47번길,,,8,75,1,N,37.278325,127.041189,37.278994,127.041811,,경기도 수원시 팔달구청,031-228-7435,2022-06-16,3740000,경기도 수원시
경기도,수원시,매영로56번길 2,,,4,100,1,N,37.26866608,127.0486563,37.26893632,127.0477195,,경기도 수원시 영통구청,031-223-8345,2022-06-16,3740000,경기도 수원시
경기도,수원시,중부대로246번길 30-1,,,4,110,1,N,37.27367671,127.0419815,37.27372287,127.0411214,,경기도 수원시 영통구청,031-223-8345,2022-06-16,3740000,경기도 수원시
경기도,수원시,매여울로67번길 6,,,6,130,1,N,37.27396645,127.0447689,37.27433364,127.0425193,,경기도 수원시 영통구청,031-223-8345,2022-06-16,3740000,경기도 수원시
경상북도,구미시,인동중앙로,통행원활,,6,130,1,N,36.107826,128.422098,36.108385,128.423509,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,형곡로10길,통행원활,,6,490,2,N,36.117517,128.327601,36.115311,128.332298,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,형곡로7길,통행원활,,6,195,1,Y,36.115154,128.332618,36.114256,128.334554,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,형곡로7길,통행원활,,6,185,2,Y,36.114455,128.334605,36.115351,128.332678,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,형곡로8길,통행원활,,6,490,2,Y,36.115454,128.332469,36.117681,128.327713,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,금오산로10길,통행원활,,6,145,1,N,36.125393,128.335456,36.125966,128.333814,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,금오산로22길,통행원활,,6,80,1,N,36.127655,128.329369,36.126956,128.329373,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,한천길,통행원활,,6,300,1,N,36.128501,128.463701,36.129001,128.460501,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,산업로2길,통행원활,,6,75,1,N,36.130241,128.330706,36.129871,128.331559,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,봉곡로23길,통행원활,,6,435,1,N,36.155831,128.310157,36.155751,128.311436,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,상림로,통행원활,,6,110,2,Y,36.101735,128.362826,36.100959,128.361551,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,칠성로6길,통행원활,,6,120,1,Y,36.123722,128.362214,36.123354,128.360791,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,신비로,통행원활,,6,60,1,N,36.124022,128.381424,36.124009,128.381416,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,송선로,통행원활,,6,105,1,Y,36.132727,128.323208,36.133642,128.323301,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,화신로,통행원활,,6,13,1,N,36.114631,128.355661,36.114699,128.355536,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,포항시,중섬로,,,7,52,1,N,36.01168317,129.354717,36.0112058,129.3545946,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,상도로 26번길,,,6,85,1,N,36.01115188,129.3545875,36.01035164,129.354389,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,상도로 16번길,,,6,55,1,N,36.01027312,129.3543728,36.00974676,129.3542213,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,희망대로,,,7,59,1,N,36.00964825,129.3541906,36.0091712,129.3540517,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,희망대로,,,7,66,1,N,36.00891357,129.3555854,36.00947436,129.3554746,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,상도로 8번길,,,7,65,1,N,36.00954909,129.3554547,36.01011208,129.3553467,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,상도로 16번길,,,7,94,1,N,36.01021574,129.3553442,36.0110504,129.3551667,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,상도로 26번길,,,7,217,1,N,36.01021574,129.3553442,36.01147132,129.3527727,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,중흥로57번길,,,8,223,1,N,36.01106408,129.3466586,36.0107929,129.348314,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,중흥로 172번길,,,7,478,1,N,36.01706297,129.3600563,36.01942588,129.3555879,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,중흥로 162번길,,,5,481,1,N,36.01859207,129.3549198,36.0162265,129.3594103,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,구미시,구미중앙로21길,통행원활,,6,200,1,N,36.128794,128.336842,36.127091,128.335755,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,금오산로6길,통행원활,,6,285,1,N,36.128419,128.337854,36.129612,128.334931,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,낙동강변로,통행원활,,6,1180,4,Y,36.083957,128.385686,36.092622,128.393671,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,농공단지길,통행원활,,6,340,1,N,36.214608,128.325623,36.214105,128.321985,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,도봉로,통행원활,,6,150,1,N,36.139901,128.315801,36.139601,128.317401,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
