"시점",공항,항구
"시점",김해,부산
"2015.01",226687,50545
"2015.02",173950,44152
"2015.03",175351,36822
"2015.04",195851,46589
"2015.05",199356,54680
"2015.06",165805,36952
"2015.07",200675,45586
"2015.08",229054,58726
"2015.09",184773,40296
"2015.10",233248,51427
"2015.11",229941,48958
"2015.12",262802,46732
"2016.01",312735,52215
"2016.02",276202,54341
"2016.03",234895,45936
"2016.04",231953,45997
"2016.05",228575,46331
"2016.06",247050,45601
"2016.07",287054,54485
"2016.08",282194,52612
"2016.09",251799,45155
"2016.10",256212,53042
"2016.11",257188,52007
"2016.12",293965,51246
"2017.01",340393,58974
"2017.02",327252,67316
"2017.03",288384,55985
"2017.04",271919,66503
"2017.05",271320,65276
"2017.06",287950,57440
"2017.07",322647,62795
"2017.08",324089,57500
"2017.09",286387,49628
"2017.10",310958,52704
"2017.11",323474,58196
"2017.12",359417,56206
"2018.01",416673,65294
"2018.02",337662,63938
"2018.03",336047,51114
"2018.04",319401,68418
"2018.05",324254,57935
"2018.06",323154,54290
"2018.07",342418,56159
"2018.08",349430,64656
"2018.09",295922,50863
"2018.10",331933,56226
"2018.11",326243,62874
"2018.12",353122,60818
"2019.01",403835,60278
"2019.02",366124,64564
"2019.03",331861,56859
"2019.04",308571,58479
"2019.05",317227,58426
"2019.06",333483,50123
"2019.07",348276,37189
"2019.08",317645,19089
"2019.09",257611,10481
"2019.10",276197,11691
"2019.11",275215,14319
"2019.12",317759,17234
"2020.01",333111,18930
"2020.02",112105,11533
"2020.03",7700,4225
"2020.04",37,3510
"2020.05",9,3800
"2020.06",21,3419
"2020.07",46,3669
"2020.08",0,3555
"2020.09",0,3487
"2020.10",103,3640
"2020.11",129,3471
"2020.12",150,3238
"2021.01",116,3271
"2021.02",63,3322
"2021.03",82,3273
"2021.04",86,3391
"2021.05",1391,3435
"2021.06",630,3341
"2021.07",870,3315
"2021.08",420,3228
"2021.09",611,3038
"2021.10",671,3281
"2021.11",591,3566
"2021.12",820,3072
"2022.01",938,3279
"2022.02",855,3179
"2022.03",986,3418
"2022.04",1823,3158
"2022.05",3418,3231
"2022.06",7835,3105
"2022.07",42841,3326
"2022.08",47261,3533
"2022.09",37030,2682
"2022.10",71579,3494
"2022.11",126419,3687
"2022.12",192723,5760
