,시도명,지정사유,지정연도,도로폭,도로차로수,보차분리여부
0,경기도,사유불분명,0.0,5.0,1.0,Y
1,경기도,사유불분명,0.0,5.0,1.0,Y
2,경기도,사유불분명,0.0,9.0,1.0,Y
3,경기도,사유불분명,0.0,4.0,1.0,Y
4,경기도,사유불분명,0.0,4.0,1.0,Y
5,경기도,사유불분명,0.0,6.0,1.0,N
6,경기도,사유불분명,0.0,6.0,1.0,N
7,경기도,사유불분명,0.0,7.5,1.0,Y
8,경기도,사유불분명,0.0,8.0,1.0,Y
9,경기도,사유불분명,0.0,6.0,1.0,Y
10,경기도,사유불분명,0.0,6.0,1.0,Y
11,경기도,사유불분명,0.0,8.0,1.0,N
12,경기도,사유불분명,0.0,8.0,1.0,N
13,경기도,사유불분명,0.0,4.0,1.0,N
14,경기도,사유불분명,0.0,4.0,1.0,N
15,경기도,사유불분명,0.0,6.0,1.0,N
16,경상북도,원활,0.0,6.0,1.0,N
17,경상북도,원활,0.0,6.0,2.0,N
18,경상북도,원활,0.0,6.0,1.0,Y
19,경상북도,원활,0.0,6.0,2.0,Y
20,경상북도,원활,0.0,6.0,2.0,Y
21,경상북도,원활,0.0,6.0,1.0,N
22,경상북도,원활,0.0,6.0,1.0,N
23,경상북도,원활,0.0,6.0,1.0,N
24,경상북도,원활,0.0,6.0,1.0,N
25,경상북도,원활,0.0,6.0,1.0,N
26,경상북도,원활,0.0,6.0,2.0,Y
27,경상북도,원활,0.0,6.0,1.0,Y
28,경상북도,원활,0.0,6.0,1.0,N
29,경상북도,원활,0.0,6.0,1.0,Y
30,경상북도,원활,0.0,6.0,1.0,N
31,경상북도,사유불분명,0.0,7.0,1.0,N
32,경상북도,사유불분명,0.0,6.0,1.0,N
33,경상북도,사유불분명,0.0,6.0,1.0,N
34,경상북도,사유불분명,0.0,7.0,1.0,N
35,경상북도,사유불분명,0.0,7.0,1.0,N
36,경상북도,사유불분명,0.0,7.0,1.0,N
37,경상북도,사유불분명,0.0,7.0,1.0,N
38,경상북도,사유불분명,0.0,7.0,1.0,N
39,경상북도,사유불분명,0.0,8.0,1.0,N
40,경상북도,사유불분명,0.0,7.0,1.0,N
41,경상북도,사유불분명,0.0,5.0,1.0,N
42,경상북도,원활,0.0,6.0,1.0,N
43,경상북도,원활,0.0,6.0,1.0,N
44,경상북도,원활,0.0,6.0,4.0,Y
45,경상북도,원활,0.0,6.0,1.0,N
46,경상북도,원활,0.0,6.0,1.0,N
47,경상북도,원활,0.0,6.0,1.0,Y
48,경상북도,원활,0.0,6.0,1.0,Y
49,경상북도,원활,0.0,6.0,1.0,N
50,경상북도,원활,0.0,6.0,1.0,N
51,경상북도,원활,0.0,6.0,1.0,N
52,경상북도,원활,0.0,6.0,1.0,N
53,경상북도,원활,0.0,6.0,1.0,N
54,경상북도,원활,0.0,6.0,1.0,N
55,경상북도,원활,0.0,6.0,1.0,N
56,경상북도,원활,0.0,6.0,1.0,N
57,경상북도,원활,0.0,6.0,1.0,Y
58,경상북도,원활,0.0,6.0,1.0,Y
59,경상북도,원활,0.0,6.0,1.0,Y
60,경상북도,원활,0.0,6.0,1.0,Y
61,경상북도,원활,0.0,6.0,1.0,Y
62,경상북도,원활,0.0,6.0,1.0,Y
63,경상북도,원활,0.0,6.0,1.0,Y
64,경상북도,원활,0.0,6.0,1.0,Y
65,제주특별자치도,불편,2017.0,4.0,1.0,N
66,제주특별자치도,불편,2018.0,6.0,1.0,N
67,제주특별자치도,불편,0.0,8.0,1.0,Y
68,제주특별자치도,불편,0.0,6.0,1.0,N
69,제주특별자치도,불편,0.0,6.0,1.0,N
70,제주특별자치도,불편,0.0,4.0,1.0,N
71,제주특별자치도,불편,0.0,4.0,1.0,Y
74,인천광역시,원활,2005.0,6.0,1.0,N
78,인천광역시,원활,2018.0,7.0,1.0,Y
79,인천광역시,원활,2019.0,3.5,1.0,N
80,인천광역시,원활,2019.0,6.0,1.0,Y
81,인천광역시,원활,2022.0,5.5,1.0,N
82,경상북도,원활,0.0,6.0,1.0,N
83,경상북도,원활,0.0,6.0,1.0,Y
84,경상북도,원활,0.0,6.0,1.0,Y
85,경상북도,원활,0.0,6.0,1.0,Y
86,경상북도,원활,0.0,6.0,2.0,Y
87,경상북도,원활,0.0,6.0,2.0,Y
88,경상북도,원활,0.0,6.0,1.0,N
89,경상북도,원활,0.0,6.0,1.0,Y
90,경상북도,원활,0.0,6.0,1.0,Y
91,경상북도,원활,0.0,6.0,1.0,N
92,경상북도,원활,0.0,6.0,1.0,Y
93,경상북도,원활,0.0,6.0,1.0,N
94,경상북도,사유불분명,0.0,6.0,1.0,N
95,경기도,안전,2016.0,8.0,1.0,N
96,경기도,안전,2016.0,8.0,1.0,N
97,경기도,안전,2012.0,8.0,1.0,N
98,경기도,안전,2012.0,8.0,1.0,N
99,경기도,안전,2012.0,8.0,1.0,N
101,강원도,사유불분명,0.0,8.0,1.0,N
102,강원도,사유불분명,0.0,8.0,1.0,N
103,강원도,사유불분명,0.0,8.0,1.0,N
104,강원도,사유불분명,0.0,8.0,1.0,N
105,강원도,사유불분명,0.0,8.0,1.0,N
106,강원도,사유불분명,0.0,8.0,1.0,N
107,강원도,사유불분명,0.0,8.0,1.0,N
109,강원도,사유불분명,0.0,8.0,1.0,N
110,강원도,사유불분명,0.0,8.0,1.0,Y
111,강원도,사유불분명,0.0,8.0,1.0,Y
112,경상북도,사유불분명,0.0,7.0,1.0,N
113,경상북도,사유불분명,0.0,7.0,1.0,N
114,경상북도,사유불분명,0.0,7.0,1.0,N
115,경상북도,사유불분명,0.0,7.0,1.0,N
116,경상북도,사유불분명,0.0,7.0,1.0,N
117,경상남도,사유불분명,2022.0,5.0,1.0,N
118,강원도,안전,0.0,3.0,1.0,Y
119,강원도,안전,0.0,3.0,1.0,N
120,강원도,안전,0.0,3.0,1.0,Y
121,강원도,안전,0.0,3.0,1.0,N
122,강원도,안전,0.0,3.0,1.0,N
123,강원도,안전,0.0,3.0,1.0,N
124,경기도,원활,0.0,6.0,1.0,N
125,경기도,원활,0.0,6.0,1.0,N
126,경상북도,사유불분명,0.0,7.0,1.0,N
127,경상북도,사유불분명,0.0,5.0,1.0,N
128,경상북도,사유불분명,0.0,5.0,1.0,N
129,경상북도,사유불분명,0.0,7.0,1.0,N
130,경상북도,사유불분명,0.0,7.0,1.0,N
131,경상북도,사유불분명,0.0,7.0,1.0,N
132,경상북도,사유불분명,0.0,6.0,1.0,N
133,경상북도,사유불분명,0.0,5.0,1.0,N
134,경상북도,사유불분명,0.0,7.0,1.0,N
135,서울특별시,사유불분명,0.0,5.5,1.0,N
136,서울특별시,사유불분명,0.0,5.5,1.0,N
137,서울특별시,사유불분명,0.0,5.5,1.0,N
138,서울특별시,사유불분명,0.0,7.5,1.0,Y
139,서울특별시,사유불분명,0.0,7.5,1.0,Y
140,서울특별시,사유불분명,0.0,5.5,1.0,N
141,서울특별시,사유불분명,0.0,9.0,1.0,N
142,서울특별시,사유불분명,0.0,7.5,1.0,N
143,서울특별시,사유불분명,0.0,5.5,1.0,N
144,서울특별시,사유불분명,0.0,5.5,1.0,N
145,서울특별시,사유불분명,0.0,5.5,1.0,N
146,서울특별시,사유불분명,0.0,5.5,1.0,Y
147,서울특별시,사유불분명,0.0,7.5,1.0,N
148,서울특별시,사유불분명,0.0,5.5,1.0,N
149,서울특별시,사유불분명,0.0,5.5,1.0,N
150,서울특별시,사유불분명,0.0,7.5,1.0,N
151,서울특별시,사유불분명,0.0,5.5,1.0,Y
152,서울특별시,사유불분명,0.0,5.5,1.0,Y
153,서울특별시,사유불분명,0.0,5.5,1.0,Y
154,서울특별시,사유불분명,0.0,5.5,1.0,N
155,서울특별시,사유불분명,0.0,3.5,1.0,N
156,서울특별시,사유불분명,0.0,5.5,1.0,N
157,서울특별시,사유불분명,0.0,5.5,1.0,N
158,서울특별시,사유불분명,0.0,5.5,1.0,N
159,서울특별시,사유불분명,0.0,7.5,1.0,N
160,서울특별시,사유불분명,0.0,5.5,1.0,N
161,서울특별시,사유불분명,0.0,5.5,1.0,N
162,서울특별시,사유불분명,0.0,5.5,1.0,N
163,서울특별시,사유불분명,0.0,5.5,1.0,N
164,서울특별시,사유불분명,0.0,5.5,1.0,N
165,서울특별시,사유불분명,0.0,5.5,1.0,N
166,서울특별시,사유불분명,0.0,5.5,1.0,N
167,서울특별시,사유불분명,0.0,4.0,1.0,N
168,서울특별시,사유불분명,0.0,4.0,1.0,N
169,서울특별시,사유불분명,0.0,4.0,1.0,N
170,서울특별시,사유불분명,0.0,6.0,1.0,N
171,서울특별시,사유불분명,0.0,6.0,1.0,N
172,서울특별시,사유불분명,0.0,6.0,1.0,N
173,서울특별시,사유불분명,0.0,6.0,1.0,N
174,서울특별시,사유불분명,0.0,6.0,1.0,N
175,서울특별시,사유불분명,0.0,4.0,1.0,N
176,서울특별시,사유불분명,0.0,4.0,1.0,N
177,서울특별시,사유불분명,0.0,5.0,1.0,N
178,서울특별시,사유불분명,0.0,4.0,1.0,N
179,서울특별시,사유불분명,0.0,4.0,1.0,N
180,서울특별시,사유불분명,0.0,4.0,1.0,N
181,서울특별시,사유불분명,0.0,4.0,1.0,N
182,서울특별시,사유불분명,0.0,3.0,1.0,N
183,서울특별시,사유불분명,0.0,5.0,1.0,N
184,서울특별시,사유불분명,0.0,4.0,1.0,N
185,서울특별시,사유불분명,0.0,4.0,1.0,N
186,서울특별시,사유불분명,0.0,5.0,1.0,N
187,서울특별시,사유불분명,0.0,5.0,1.0,N
188,서울특별시,사유불분명,0.0,4.0,1.0,N
189,서울특별시,사유불분명,0.0,5.0,1.0,N
190,서울특별시,사유불분명,0.0,6.0,1.0,Y
191,서울특별시,사유불분명,0.0,5.0,1.0,N
192,서울특별시,사유불분명,0.0,7.0,1.0,N
193,서울특별시,사유불분명,0.0,6.0,1.0,Y
194,서울특별시,사유불분명,0.0,5.0,1.0,N
195,서울특별시,사유불분명,0.0,5.0,1.0,N
196,서울특별시,사유불분명,0.0,5.0,1.0,N
197,서울특별시,사유불분명,0.0,6.0,1.0,N
198,서울특별시,사유불분명,0.0,7.0,1.0,N
199,서울특별시,사유불분명,0.0,6.0,1.0,N
200,서울특별시,사유불분명,0.0,6.0,1.0,N
201,서울특별시,사유불분명,0.0,10.0,2.0,Y
202,서울특별시,사유불분명,0.0,5.0,1.0,N
203,서울특별시,사유불분명,0.0,5.0,1.0,N
204,서울특별시,사유불분명,0.0,5.0,1.0,N
206,서울특별시,사유불분명,0.0,4.0,1.0,N
207,서울특별시,사유불분명,0.0,3.5,1.0,N
208,서울특별시,사유불분명,0.0,5.0,1.0,N
209,서울특별시,사유불분명,0.0,4.0,1.0,N
210,서울특별시,사유불분명,0.0,3.5,1.0,N
211,충청남도,사유불분명,0.0,4.5,1.0,N
212,서울특별시,사유불분명,0.0,6.0,1.0,N
213,서울특별시,사유불분명,0.0,3.5,1.0,N
214,서울특별시,사유불분명,0.0,6.0,1.0,N
215,서울특별시,사유불분명,0.0,6.0,1.0,N
216,서울특별시,사유불분명,0.0,7.0,1.0,Y
217,서울특별시,사유불분명,0.0,6.5,1.0,N
218,서울특별시,사유불분명,0.0,6.0,1.0,Y
219,서울특별시,사유불분명,0.0,10.0,2.0,N
220,서울특별시,사유불분명,0.0,10.0,1.0,Y
221,서울특별시,사유불분명,0.0,8.0,1.0,N
222,서울특별시,사유불분명,0.0,4.0,1.0,N
223,서울특별시,사유불분명,0.0,5.0,1.0,N
225,서울특별시,사유불분명,0.0,2.5,1.0,N
226,서울특별시,사유불분명,0.0,5.0,1.0,N
227,서울특별시,사유불분명,0.0,5.0,1.0,N
229,서울특별시,사유불분명,0.0,8.0,1.0,Y
230,서울특별시,사유불분명,0.0,6.0,1.0,N
231,서울특별시,사유불분명,0.0,5.0,1.0,N
232,서울특별시,사유불분명,0.0,9.0,1.0,N
233,경기도,사유불분명,0.0,6.0,1.0,N
234,경기도,사유불분명,0.0,8.0,1.0,N
235,경기도,사유불분명,0.0,10.0,2.0,Y
236,경기도,사유불분명,0.0,6.0,1.0,Y
237,경기도,사유불분명,0.0,6.0,1.0,N
238,경기도,사유불분명,0.0,6.0,1.0,N
239,경기도,사유불분명,0.0,8.0,1.0,N
240,경기도,사유불분명,0.0,8.0,1.0,N
241,경기도,사유불분명,0.0,7.1,1.0,Y
242,경기도,사유불분명,0.0,9.8,2.0,Y
243,경기도,사유불분명,0.0,10.0,2.0,Y
244,경기도,사유불분명,0.0,10.0,2.0,N
245,경기도,사유불분명,0.0,10.0,2.0,Y
246,경기도,사유불분명,0.0,10.0,2.0,Y
247,경기도,사유불분명,0.0,9.7,2.0,Y
248,경기도,사유불분명,0.0,9.7,2.0,Y
249,경기도,사유불분명,0.0,10.0,2.0,Y
250,경기도,사유불분명,0.0,6.3,1.0,N
251,경기도,사유불분명,0.0,6.0,1.0,N
252,서울특별시,사유불분명,0.0,6.0,1.0,Y
253,서울특별시,사유불분명,0.0,6.0,1.0,Y
254,서울특별시,사유불분명,0.0,6.0,1.0,N
255,서울특별시,사유불분명,0.0,3.5,1.0,N
256,서울특별시,사유불분명,0.0,6.0,1.0,N
257,서울특별시,사유불분명,0.0,6.0,1.0,N
258,서울특별시,사유불분명,0.0,10.0,1.0,N
259,서울특별시,사유불분명,0.0,5.0,1.0,N
260,서울특별시,사유불분명,0.0,4.0,1.0,N
261,서울특별시,사유불분명,0.0,3.5,1.0,N
262,서울특별시,사유불분명,0.0,3.0,1.0,N
263,서울특별시,사유불분명,0.0,4.0,1.0,N
264,서울특별시,사유불분명,0.0,5.0,1.0,N
265,서울특별시,사유불분명,0.0,5.0,1.0,N
266,경상북도,사유불분명,0.0,7.0,1.0,N
267,서울특별시,안전,1999.0,3.7,1.0,N
268,경기도,사유불분명,2019.0,7.0,1.0,N
269,경기도,사유불분명,2021.0,4.0,1.0,N
270,경기도,사유불분명,2021.0,6.0,1.0,N
271,경기도,사유불분명,0.0,8.0,1.0,Y
272,경기도,사유불분명,0.0,6.0,1.0,N
273,경기도,사유불분명,0.0,6.0,1.0,N
274,경기도,사유불분명,0.0,6.0,1.0,N
275,경기도,사유불분명,0.0,5.0,1.0,N
