"데이터직무별(1)","시점","기술등급별(1)",데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업
"데이터 아키텍트","2018","계",806,4330
"데이터 아키텍트","2019","계",1202,4355
"데이터 아키텍트","2020","계",1588,4915
"데이터 아키텍트","2021","계",2061,6044
"데이터 개발자","2018","계",4579,16302
"데이터 개발자","2019","계",4799,17092
"데이터 개발자","2020","계",5683,18173
"데이터 개발자","2021","계",7891,21858
"데이터 엔지니어","2018","계",1616,7528
"데이터 엔지니어","2019","계",1862,8035
"데이터 엔지니어","2020","계",2421,8780
"데이터 엔지니어","2021","계",3276,9866
"데이터 분석가","2018","계",892,2457
"데이터 분석가","2019","계",1039,2794
"데이터 분석가","2020","계",1292,3011
"데이터 분석가","2021","계",1519,3828
"데이터베이스 관리자","2018","계",842,4617
"데이터베이스 관리자","2019","계",1023,4644
"데이터베이스 관리자","2020","계",1409,6098
"데이터베이스 관리자","2021","계",1769,7736
"데이터 과학자","2018","계",218,581
"데이터 과학자","2019","계",288,784
"데이터 과학자","2020","계",540,1149
"데이터 과학자","2021","계",762,1443
"데이터 컨설턴트","2018","계",1736,2904
"데이터 컨설턴트","2019","계",2076,3001
"데이터 컨설턴트","2020","계",2265,3672
"데이터 컨설턴트","2021","계",2556,4856
"데이터 기획자","2018","계",852,1478
"데이터 기획자","2019","계",1177,2274
"데이터 기획자","2020","계",2075,2845
"데이터 기획자","2021","계",2289,3101
