"행정구역별","시점",건수 (건),사망 (명),부상 (명),재산피해(계) (천원),부동산 (천원),동산 (천원),이재가구수 (가구),이재민수 (명)
"전국","2010",41863,304,1588,266776332,117808118,148968214,1183,2623
"전국","2011",43875,263,1599,256547614,113257928,143289686,1158,2417
"전국","2012",43249,267,1955,289493719,127500018,161993701,1062,2254
"전국","2013",40932,307,1877,434462330,178812680,255649650,1354,2330
"전국","2014",42135,325,1856,405356513,168824616,236531897,1178,2374
"전국","2015",44435,253,1837,433165072,172436683,260728389,1378,2673
"전국","2016",43413,306,1718,420603245,163024911,257578334,1055,2158
"전국","2017",44178,345,1852,506913578,209853077,297060501,1269,2526
"전국","2018",42338,369,2225,559735728,233979583,325756145,1314,2630
"전국","2019",40103,285,2230,858496234,311283934,547212300,1791,3644
"전국","2020",38659,365,1918,600475432,226754018,373721414,1354,2827
"전국","2021",36267,276,1854,1099124986,469872895,629252091,1448,2789
"서울특별시","2010",5321,42,188,14503873,5948963,8554910,131,277
"서울특별시","2011",5526,29,168,14185528,5887081,8298447,158,312
"서울특별시","2012",5724,31,246,17382374,6132231,11250143,131,260
"서울특별시","2013",5646,31,202,21495228,6814090,14681138,58,153
"서울특별시","2014",5815,36,265,20052979,6674887,13378092,161,369
"서울특별시","2015",5921,27,222,14337272,6079645,8257627,97,223
"서울특별시","2016",6443,40,236,14122346,5975254,8147092,80,181
"서울특별시","2017",5978,37,246,15323890,6592363,8731527,71,148
"서울특별시","2018",6368,53,307,21239984,5478877,15761107,177,360
"서울특별시","2019",5881,37,361,92409010,12331390,80077620,171,318
"서울특별시","2020",5088,37,236,17438606,7298842,10139764,147,300
"서울특별시","2021",4951,37,280,18268346,6872172,11396174,282,597
"부산광역시","2010",2403,19,91,10546785,5580443,4966342,46,126
"부산광역시","2011",2485,21,96,6320980,2417315,3903665,21,49
"부산광역시","2012",2315,26,166,7318949,3410678,3908271,24,50
"부산광역시","2013",2323,22,94,7742931,2715628,5027303,10,25
"부산광역시","2014",2026,19,86,8433712,3108898,5324814,26,49
"부산광역시","2015",1973,17,84,17741193,3381139,14360054,27,55
"부산광역시","2016",2199,17,128,6645774,2881160,3764614,96,183
"부산광역시","2017",2609,19,102,8301634,4094046,4207588,39,76
"부산광역시","2018",2471,14,129,11026700,4581957,6444743,43,78
"부산광역시","2019",2440,9,121,6242914,2301190,3941724,53,91
"부산광역시","2020",2499,13,166,5907121,1856165,4050956,47,100
"부산광역시","2021",2271,16,138,6173646,2060994,4112652,41,75
"대구광역시","2010",1923,12,72,4637285,1996359,2640926,62,137
"대구광역시","2011",1990,7,100,8680032,3086942,5593090,39,91
"대구광역시","2012",1757,7,57,6084890,2198220,3886670,23,49
"대구광역시","2013",1538,14,100,7731740,3182913,4548827,39,94
"대구광역시","2014",1767,19,71,7462623,2906122,4556501,27,65
"대구광역시","2015",1817,7,75,7962581,3654754,4307827,25,59
"대구광역시","2016",1739,11,83,53332109,7422474,45909635,33,54
"대구광역시","2017",1612,8,61,9278689,3610910,5667779,16,28
"대구광역시","2018",1440,18,66,11224702,3340690,7884012,25,51
"대구광역시","2019",1323,11,94,7224014,3528639,3695375,31,67
"대구광역시","2020",1233,11,63,6463059,2893854,3569205,29,55
"대구광역시","2021",1189,5,61,10039908,4807498,5232410,18,31
"인천광역시","2010",1746,15,65,11614854,5362442,6252412,68,167
"인천광역시","2011",1851,16,92,11523700,4902246,6621454,26,69
"인천광역시","2012",1608,12,79,12445803,5428159,7017644,56,106
"인천광역시","2013",1575,13,64,15547859,6691207,8856652,35,78
"인천광역시","2014",1818,12,73,15595630,6696782,8898848,66,144
"인천광역시","2015",1875,16,89,16306026,6926014,9380012,56,128
"인천광역시","2016",1790,10,94,16593610,7555616,9037994,75,153
"인천광역시","2017",1608,7,90,14843774,5797370,9046404,87,213
"인천광역시","2018",1620,21,98,39995418,16604190,23391228,77,155
"인천광역시","2019",1499,14,99,22507439,10715812,11791627,63,115
"인천광역시","2020",1368,22,66,11742584,5160008,6582576,99,168
"인천광역시","2021",1270,10,65,15384770,5667071,9717699,119,181
"광주광역시","2010",1273,7,24,2729570,1358722,1370848,27,71
"광주광역시","2011",1225,1,28,2826775,1112300,1714475,34,75
"광주광역시","2012",1106,5,21,2055482,1083490,971992,17,44
"광주광역시","2013",1110,10,34,5969079,2705625,3263454,19,39
"광주광역시","2014",1010,5,23,3678484,1759365,1919119,37,100
"광주광역시","2015",1006,3,17,3022684,1283364,1739320,21,54
"광주광역시","2016",956,7,23,3774577,1708802,2065775,20,43
"광주광역시","2017",923,9,27,3375779,1580267,1795512,32,66
"광주광역시","2018",860,7,22,3654244,1681721,1972523,22,57
"광주광역시","2019",844,10,51,4542558,2115276,2427282,20,42
"광주광역시","2020",882,4,28,3315188,1546647,1768541,31,72
"광주광역시","2021",743,8,19,20199240,4778281,15420959,25,65
"대전광역시","2010",1438,12,43,5749591,2872384,2877207,19,44
"대전광역시","2011",1352,4,38,2973059,1417176,1555883,16,40
"대전광역시","2012",1388,3,44,4679533,2416537,2262996,20,51
"대전광역시","2013",1265,9,74,4165863,1788996,2376867,54,144
"대전광역시","2014",1291,5,62,33744479,8962144,24782335,22,43
"대전광역시","2015",1254,3,44,3248504,1297385,1951119,32,73
"대전광역시","2016",974,7,40,3701616,1786778,1914838,69,139
"대전광역시","2017",1059,9,46,4931988,2281113,2650875,21,38
"대전광역시","2018",1094,12,73,6026625,3693466,2333159,20,48
"대전광역시","2019",878,9,62,4042309,1776153,2266156,41,112
"대전광역시","2020",865,8,57,7590112,3143954,4446158,37,68
"대전광역시","2021",796,6,40,8626140,5255040,3371100,22,46
"울산광역시","2010",1196,3,71,3158429,1198739,1959690,11,32
"울산광역시","2011",1285,6,71,4701342,2814289,1887053,20,60
"울산광역시","2012",1080,6,101,5389319,1952528,3436791,5,14
"울산광역시","2013",1192,2,91,10020606,3363892,6656714,11,24
"울산광역시","2014",890,6,39,7455437,3355047,4100390,13,22
"울산광역시","2015",874,6,45,4430098,2088836,2341262,6,23
"울산광역시","2016",928,16,53,3519167,1348394,2170773,1,3
"울산광역시","2017",959,2,39,3460955,1795542,1665413,2,3
"울산광역시","2018",887,5,27,7354639,4441261,2913378,9,16
"울산광역시","2019",737,4,67,66995076,23563077,43431999,2,2
"울산광역시","2020",910,9,66,16584280,11652678,4931602,141,454
"울산광역시","2021",802,5,63,8033711,3240737,4792974,48,99
"세종특별자치시","2012",66,3,3,2190095,1221722,968373,2,4
"세종특별자치시","2013",194,3,3,1153162,623461,529701,2,12
"세종특별자치시","2014",223,1,6,1023281,479483,543798,1,4
"세종특별자치시","2015",252,1,5,1240542,604540,636002,4,9
"세종특별자치시","2016",300,2,12,1585028,773221,811807,11,22
"세종특별자치시","2017",316,2,8,4039112,1687347,2351765,10,23
"세종특별자치시","2018",236,3,50,10321601,8548417,1773184,10,18
"세종특별자치시","2019",191,0,8,2695492,995712,1699780,5,10
"세종특별자치시","2020",203,2,16,3196125,1227512,1968613,25,28
"세종특별자치시","2021",185,-,15,2085194,940781,1144413,5,9
"경기도","2010",9321,62,369,90122003,38449239,51672764,209,483
