지자체명,공원구분,공원명,위도,경도,공원면적,지정고시일
서울특별시,소공원,녹색소공원,37.539217,126.962694,1569.9,2012-10-19
세종특별자치시,소공원,푸름샘 소공원(소1-1),36.51611724,127.2337813,1820.0,2011-08-05
세종특별자치시,소공원,솔숲 소공원(소1-2),36.50899459,127.2300403,1037.0,2011-08-05
세종특별자치시,수변공원,마디꽃 수변공원(수1-1),36.49596224,127.2573155,4928.0,2007-07-04
세종특별자치시,수변공원,꽃 수변공원(수2-3),36.47313297,127.2544818,3575.0,2009-01-07
세종특별자치시,수변공원,여울목 수변공원(수2-4),36.47624025,127.2594641,71559.0,2007-07-04
세종특별자치시,역사공원,백제고분 공원(역2-2),36.47964324,127.2543424,22821.0,2009-01-07
세종특별자치시,역사공원,어서각 공원(역1-2),36.51540014,127.2462159,6075.0,2007-07-04
세종특별자치시,역사공원,초려 공원(역1-2),36.50306272,127.2559281,23751.0,2013-04-24
세종특별자치시,문화공원,문화공원(문화1-1),36.50109974,127.269949,20559.0,2010-07-28
세종특별자치시,문화공원,누리빛 문화공원(문화1-2),36.51162422,127.2436229,5699.0,2012-07-04
세종특별자치시,문화공원,문화공원(문화1-3),36.5143613,127.2551302,1474.0,2013-12-19
세종특별자치시,문화공원,호수공원(문화S-1),36.49881773,127.270076,697246.0,2010-07-28
세종특별자치시,체육공원,금남체육공원,36.4635113,127.2866705,13570.0,2004-05-31
세종특별자치시,근린공원,부강공원,36.52817882,127.3631938,16529.0,1974-10-02
세종특별자치시,근린공원,침산공원(충령탑),36.59844026,127.2949071,20681.0,1954-05-15
세종특별자치시,근린공원,수원지 공원,36.60725506,127.3000196,10066.0,1989-10-24
세종특별자치시,근린공원,침산공원2,36.59982366,127.2878445,24402.0,1954-05-15
세종특별자치시,근린공원,가락뜰 근린공원(근1-2),36.51969092,127.2384857,21192.0,2007-07-04
세종특별자치시,근린공원,뜸이기뜰 근린공원(근1-3),36.51392625,127.2334711,15815.0,2007-07-04
세종특별자치시,근린공원,솔뜰 근린공원(근1-5),36.51022868,127.2330759,14868.0,2007-07-04
세종특별자치시,근린공원,참뜰 근린공원(근1-6),36.50414455,127.2365002,18394.0,2007-07-04
세종특별자치시,근린공원,오가낭뜰 근린공원(근1-7),36.52289844,127.2491308,617013.0,2007-07-04
서울특별시,소공원,강변공원,37.521338,126.975039,1766.0,1995-02-22
서울특별시,어린이공원,솔밭어린이공원,37.537229,126.973668,2090.0,2001-07-10
서울특별시,어린이공원,신창동어린이공원,37.5366983,126.954145,257.0,2003-02-20
서울특별시,근린공원,서빙고공원,37.524782,126.9712832,11879.0,2003-05-10
서울특별시,근린공원,기와터공원,37.52581297,126.969661,2225.0,2003-06-05
서울특별시,어린이공원,문배어린이공원,37.536628,126.9698073,842.0,2003-06-30
서울특별시,어린이공원,서계가로어린이공원,37.551285,126.964252,183.0,2004-11-20
서울특별시,어린이공원,후암어린이공원,37.54722997,126.9836734,182.0,2005-10-31
서울특별시,소공원,비상공원,37.522342,126.971394,889.0,2006-03-23
서울특별시,소공원,청탑공원,37.517808,126.977273,546.0,2006-03-23
서울특별시,소공원,사촌공원,37.520666,126.9709256,1500.0,2006-03-23
서울특별시,소공원,강변복지공원,37.521114,126.9658983,377.0,2006-03-23
서울특별시,소공원,이촌한우리공원,37.5172264,126.981103,4325.0,2006-03-23
서울특별시,소공원,해님공원,37.539145,126.970123,1255.0,2009-05-07
서울특별시,소공원,달님공원,37.538428,126.969601,1195.0,2009-05-07
서울특별시,소공원,별님공원,37.538165,126.969201,1137.0,2009-05-07
서울특별시,소공원,이태원마을숲,37.5412484,126.991493,867.0,2010-05-13
서울특별시,소공원,독서당공원,37.5345083,127.012481,469.0,2010-05-13
서울특별시,소공원,한남공원,37.537238,127.013882,432.0,2010-05-13
서울특별시,소공원,이태원어린이놀이터,37.535685,126.989937,278.0,2010-05-13
서울특별시,소공원,한강대로공원,37.524103,126.963575,466.0,2011-11-17
서울특별시,역사공원,이태원부군당,37.535801,126.989755,2020.0,2013-09-05
서울특별시,역사공원,이봉창역사공원,37.54010272,126.960877,484.4,2006-10-26
서울특별시,기타,신용산가로공원,37.52947726,126.9690828,2410.0,2010-12-02
서울특별시,기타,한강로가로공원,37.524249,126.963959,1076.3,2015-08-06
서울특별시,어린이공원,한마음어린이공원,37.52856458,126.9696756,2998.5,2013-12-12
서울특별시,소공원,우정소공원,37.540454,126.964126,806.1,2012-10-19
광주광역시,어린이공원,현대어린이공원,35.179792,126.919952,1500.4,1991-06-19
광주광역시,어린이공원,삼정어린이공원,35.16769944,126.9375115,2410.1,1991-10-24
광주광역시,어린이공원,장수어린이공원,35.1619848,126.9387013,1650.0,1991-10-24
광주광역시,어린이공원,느티나무어린이공원,35.18438492,126.9241219,2356.1,1991-12-31
광주광역시,어린이공원,늘푸른어린이공원,35.1877446,126.927436,2345.3,1991-12-31
광주광역시,어린이공원,동심어린이공원,35.18626587,126.9224162,2582.7,1991-12-31
광주광역시,어린이공원,문산어린이공원,35.1866576,126.9261857,1500.2,1991-12-31
광주광역시,어린이공원,바느실어린이공원,35.19022191,126.923831,2571.1,1991-12-31
광주광역시,어린이공원,소망어린이공원,35.1846753,126.9214515,2551.4,1991-12-31
광주광역시,어린이공원,송정어린이공원,35.19067459,126.9213228,3011.0,1991-12-31
광주광역시,어린이공원,오정어린이공원,35.18744328,126.914786,2039.1,1991-12-31
광주광역시,어린이공원,장미어린이공원,35.1857752,126.919437,1701.7,1991-12-31
광주광역시,어린이공원,진달래어린이공원,35.18696036,126.920325,1593.9,1991-12-31
광주광역시,어린이공원,철쭉어린이공원,35.18254778,126.9211128,1606.0,1991-12-31
광주광역시,어린이공원,동산어린이공원,35.18838989,126.8653074,1508.2,1994-11-24
광주광역시,어린이공원,산동어린이공원,35.19166525,126.8658821,1509.0,1994-11-24
광주광역시,어린이공원,푸른어린이공원,35.18822305,126.8676792,4331.5,1994-11-24
광주광역시,어린이공원,한마음어린이공원,35.188748,126.8696723,1500.5,1994-11-24
광주광역시,어린이공원,가작어린이공원,35.19845708,126.8996346,4159.1,1995-06-16
광주광역시,어린이공원,당산어린이공원,35.2098103,126.8991742,2479.1,1995-06-16
광주광역시,어린이공원,들샘어린이공원,35.2059169,126.8970029,6301.2,1995-06-16
광주광역시,어린이공원,비둘기어린이공원,35.2010078,126.8973384,3244.9,1995-06-16
광주광역시,어린이공원,삼각어린이공원,35.2007347,126.9012956,2167.6,1995-06-16
광주광역시,어린이공원,서일어린이공원,35.2127526,126.9004852,4237.4,1995-06-16
광주광역시,어린이공원,소소리어린이공원,35.21097051,126.8918963,2211.7,1995-06-16
광주광역시,어린이공원,용수어린이공원,35.2001125,126.8952973,2744.8,1995-06-16
광주광역시,어린이공원,월산어린이공원,35.20540546,126.8995643,2049.7,1995-06-16
광주광역시,어린이공원,일곡어린이공원,35.20861847,126.8927955,1599.6,1995-06-16
경상북도,체육공원,백현체육공원,36.1864293331,128.478490676,90967.0,
경상북도,어린이공원,둘모아공원,36.148431,128.3165938966,4279.0,
경상북도,소공원,다붓소공원,36.155883,128.311526,805.0,
경상북도,어린이공원,다붓1공원,36.156392,128.314372,1585.0,
경상북도,어린이공원,다붓2공원,36.1548081316,128.314372,1637.0,
경상북도,소공원,공원,36.1088784495,128.3643982818,466.0,
경상북도,근린공원,산림문화생태근린공원,36.1650991521,128.4604655345,1059228.0,
경상북도,수변공원,지산샛강생태공원,36.1357585857,128.3518755431,214265.0,
경상북도,근린공원,도담공원,36.1410710395,128.4230508367,31553.0,
경상북도,근린공원,선비공원,36.156353,128.435169,40107.7,
경상북도,어린이공원,무지개공원,36.156482,128.438079,2260.0,
경상북도,어린이공원,달빛공원,36.1428024495,128.4229606172,1682.8,
경상북도,어린이공원,솔찬공원,36.1447154288,128.4207216851,1804.4,
경상북도,근린공원,근린공원38호,36.15358372,128.3489419,9788.6,
경상북도,근린공원,서울나들공원,36.15664981,128.426117,15124.0,
경상북도,근린공원,산동물빛공원,36.15918786,128.4303439,36106.0,
경상북도,근린공원,원당공원,36.14742092,128.425286,41643.0,
경상북도,근린공원,우항공원,36.15302879,128.4314654,65794.0,
경상북도,소공원,이리공원,36.20777827,128.3254036,194.0,
경상북도,소공원,공원,36.14191033,128.3317618,2653.6,
경상북도,소공원,공원,36.14402391,128.330306,1126.5,
경상북도,소공원,공원,36.09893683,128.3669961,1644.0,
경상북도,소공원,공원,36.09987629,128.4135851,992.0,
경상북도,소공원,소소공원,36.08902643,128.3902075,1223.0,
경상북도,근린공원,화개공원,36.20952278,128.3237011,13063.0,
경상북도,근린공원,양지공원,36.12561583,128.3589071,56148.0,
경상북도,근린공원,꽃동산공원,36.13990856,128.3287298,750000.0,
경상북도,근린공원,중앙공원,36.11214048,128.3452314,266534.0,
경상북도,근린공원,오태공원,36.08321216,128.3652958,318154.6,
광주광역시,어린이공원,무등어린이공원,35.17740483,126.9366873,1747.8,1977-12-30
광주광역시,어린이공원,희망어린이공원,35.1795632,126.9278995,2578.5,1977-12-30
광주광역시,어린이공원,우리어린이공원,35.18009214,126.9211878,1873.1,1984-09-25
광주광역시,어린이공원,하백어린이공원,35.1912495,126.8909254,1666.0,1986-06-04
광주광역시,어린이공원,무진어린이공원,35.1705937,126.9358188,1500.0,1987-11-11
광주광역시,어린이공원,부영어린이공원,35.16865389,126.9356359,3414.0,1987-11-11
광주광역시,어린이공원,초롱어린이공원,35.16925738,126.9382919,1674.0,1987-11-11
광주광역시,어린이공원,평교어린이공원,35.17949232,126.9249169,1538.5,1987-11-11
광주광역시,어린이공원,그린어린이공원,35.1743275,126.9245834,2326.2,1987-12-15
광주광역시,어린이공원,둘리어린이공원,35.1708251,126.9316297,2349.5,1987-12-15
광주광역시,어린이공원,새싹어린이공원,35.17424756,126.9320593,2333.6,1987-12-15
광주광역시,어린이공원,어울림어린이공원,35.1688205,126.927779,2296.2,1987-12-15
광주광역시,어린이공원,반룡어린이공원,35.18002403,126.9026336,1783.0,1989-12-14
광주광역시,어린이공원,봉곡어린이공원,35.18001568,126.9000072,1905.1,1989-12-14
광주광역시,어린이공원,새봄어린이공원,35.1778426,126.9005515,1801.5,1989-12-14
광주광역시,어린이공원,용주어린이공원,35.18222629,126.9042239,1851.0,1989-12-14
광주광역시,어린이공원,고운어린이공원,35.18627549,126.9102511,2500.8,1989-12-14
광주광역시,어린이공원,박들어린이공원,35.19121644,126.9033484,1803.5,1989-12-14
광주광역시,어린이공원,상오치어린이공원,35.1884085,126.9104000112,1500.9,1989-12-14
광주광역시,어린이공원,하오치어린이공원,35.1857983,126.9072609,3600.8,1989-12-14
광주광역시,어린이공원,샛터어린이공원,35.18946341,126.9076891,1500.1,1989-12-14
광주광역시,어린이공원,차돌(독)어린이공원,35.18923418,126.9037787,1506.8,1989-12-14
광주광역시,어린이공원,군황어린이공원,35.16212651,126.9396407,1544.7,1990-12-12
광주광역시,어린이공원,송학어린이공원,35.16528946,126.9345848,2509.8,1990-12-12
광주광역시,어린이공원,개나리어린이공원,35.1806318,126.9170025,1520.7,1991-06-19
광주광역시,어린이공원,사랑어린이공원,35.17800347,126.9187881,1701.0,1991-06-19
광주광역시,어린이공원,용봉어린이공원,35.18242782,126.9142522,1794.2,1991-06-19
서울특별시,소공원,천왕역,37.48530509,126.8400322,171160.0,2006-11-13
서울특별시,소공원,개명,37.48292941,126.8481689,541500.0,2006-11-13
서울특별시,소공원,오류동(대체공원),37.4934436,126.842953,895.0,2018-08-23
서울특별시,소공원,연지마을,37.482231,126.8437149525,431.0,2020-09-24
서울특별시,근린공원,푸른수목원,37.48196844,126.8236695,100809.0,2005-06-23
광주광역시,근린공원,문화근린공원,35.1849172,126.9166864,87710.3,1990-12-31
광주광역시,근린공원,두암제1근린공원,35.1651036,126.9376496,13383.5,1990-12-12
광주광역시,근린공원,첨단체육근린공원,35.220546018,126.8587668608,170920.6,1991-12-12
광주광역시,근린공원,일곡제1근린공원,35.2095135208,126.8946492597,34840.3,1993-12-06
광주광역시,근린공원,일곡제2근린공원,35.20650134,126.8983947,10315.0,1993-12-06
광주광역시,근린공원,일곡제3근린공원,35.2025932,126.8962296,14313.6,1993-12-06
광주광역시,근린공원,신용빛고을근린공원,35.2077934,126.8613964,34505.3,2006-12-05
광주광역시,근린공원,연제근린공원,35.19498645,126.8615525,48063.4,2006-12-05
광주광역시,근린공원,신용강변근린공원,35.21087193,126.8566575,22483.2,2006-12-05
광주광역시,근린공원,우산근린공원,35.1756255,126.9262421,133120.0,1975-02-18
광주광역시,근린공원,본촌근린공원,35.2027694318,126.8736607,100811.0,1967-02-20
광주광역시,근린공원,운암제3 근린공원,35.18019638,126.8758031,11024.0,1982-08-04
광주광역시,근린공원,영산강대상근린공원,35.21958358,126.8587095,343538.5,1998-09-22
광주광역시,근린공원,운암산 근린공원,35.18641271,126.8666936,368907.0,1985-11-12
광주광역시,어린이공원,태봉어린이공원,35.1629176,126.9030896,2960.0,1957-11-19
광주광역시,어린이공원,미리내어린이공원,35.15991098,126.9080981,2056.0,1957-11-19
광주광역시,어린이공원,운암어린이공원,35.17397818,126.8814556,2496.5,1970-06-05
광주광역시,어린이공원,버들어린이공원,35.1724838,126.8837449,3515.4,1970-06-05
광주광역시,어린이공원,지우어린이공원,35.1754881956,126.8840764301,3860.5,1970-06-05
광주광역시,어린이공원,신안어린이공원,35.1716172,126.8982976,3817.5,1970-06-05
광주광역시,어린이공원,효동어린이공원,35.1682873,126.9092391,4205.0,1970-06-05
광주광역시,어린이공원,용흥어린이공원,35.1763308,126.9139155,2330.0,1977-06-11
광주광역시,어린이공원,꿈동산어린이공원,35.1771361,126.9331745,2205.9,1977-12-30
울산광역시,어린이공원,통새미공원,35.59087332,129.3604763,1554.0,1997-07-15
울산광역시,어린이공원,송내공원,35.59232858,129.3625324,4218.0,1997-07-15
