"시도명(1)","시점","시군구(1)",계,계,계,계,관용,관용,관용,관용,자가용,자가용,자가용,자가용
"시도명(1)","시점","시군구(1)",경형,소형,중형,대형,경형,소형,중형,대형,경형,소형,중형,대형
"부산","2023.01","금정구",350,2072,5178,575,5,4,68,2,345,2068,5110,573
"부산","2023.01","기장군",311,1473,3475,627,2,8,58,0,309,1465,3417,627
"부산","2023.01","남구",451,2408,6964,941,3,10,18,0,448,2398,6946,941
"부산","2023.01","동구",185,963,3009,321,2,22,32,1,183,941,2977,320
"부산","2023.01","동래구",404,2133,5584,855,1,1,71,1,403,2132,5513,854
"부산","2023.01","부산진구",633,3922,10094,1397,10,21,86,1,623,3901,10008,1396
"부산","2023.01","북구",414,2075,5532,720,1,4,45,0,413,2071,5487,720
"부산","2023.01","사상구",576,2276,5989,603,26,38,96,1,550,2238,5893,602
"부산","2023.01","사하구",528,2888,8168,969,6,2,72,0,522,2886,8096,969
"부산","2023.01","서구",207,1486,4033,342,1,6,2,0,206,1480,4031,342
"부산","2023.01","수영구",307,1472,4297,675,0,4,80,1,307,1468,4217,674
"부산","2023.01","연제구",279,1591,4451,681,5,4,89,36,274,1587,4362,645
"부산","2023.01","영도구",221,1482,4374,344,5,2,43,0,216,1480,4331,344
"부산","2023.01","해운대구",544,2926,7988,1333,7,2,86,1,537,2924,7902,1332
"부산","2023.01","부산기타",0,10,2,0,0,0,0,0,0,10,2,0
