"시점","자치구별(1)",자치구별(2),학교수 (개),학급수 (개),학생수 (명),교원수 (명),직원수 (명),교실수 (개)
"2002","합계",종로구,14,357,11775,448,79,369
"2002","합계",중구,12,365,12186,440,94,371
"2002","합계",용산구,15,439,14315,537,92,443
"2002","합계",성동구,15,669,24055,817,113,670
"2002","합계",광진구,20,776,30365,960,152,778
"2002","합계",동대문구,20,759,27462,923,144,786
"2002","합계",중랑구,21,1001,36312,1204,152,1010
"2002","합계",성북구,25,887,30517,1107,169,904
"2002","합계",강북구,14,639,22366,796,96,637
"2002","합계",도봉구,22,939,34030,1137,157,941
"2002","합계",노원구,41,1551,56101,1904,278,1575
"2002","합계",은평구,23,953,37598,1149,157,955
"2002","합계",서대문구,18,700,25618,839,136,693
"2002","합계",마포구,20,706,24663,888,140,718
"2002","합계",양천구,26,1037,39686,1317,179,1052
"2002","합계",강서구,32,1133,42348,1416,219,1141
"2002","합계",구로구,22,890,31623,1110,146,902
"2002","합계",금천구,17,615,21211,776,115,630
"2002","합계",영등포구,20,827,29414,1073,139,838
"2002","합계",동작구,18,762,28189,946,122,760
"2002","합계",관악구,19,878,33200,1098,134,896
"2002","합계",서초구,20,639,22309,797,135,646
"2002","합계",강남구,30,985,34753,1210,205,990
"2002","합계",송파구,33,1390,50171,1716,235,1396
"2002","합계",강동구,25,1090,38962,1331,176,1098
"2003","합계",종로구,14,360,11565,456,76,365
"2003","합계",중구,12,364,11831,445,98,371
"2003","합계",용산구,15,436,13810,542,93,440
"2003","합계",성동구,16,695,24009,860,115,701
"2003","합계",광진구,20,784,30500,973,150,800
"2003","합계",동대문구,20,767,27184,940,146,788
"2003","합계",중랑구,21,1007,35465,1223,150,1009
"2003","합계",성북구,26,919,30399,1155,168,954
"2003","합계",강북구,14,670,23201,829,95,667
"2003","합계",도봉구,22,953,33853,1156,153,960
"2003","합계",노원구,42,1582,55825,1951,275,1630
"2003","합계",은평구,23,963,38123,1164,155,963
"2003","합계",서대문구,18,701,25519,854,131,699
"2003","합계",마포구,20,717,24937,907,136,758
"2003","합계",양천구,27,1079,41175,1337,182,1087
"2003","합계",강서구,32,1155,42456,1438,217,1160
"2003","합계",구로구,22,905,31235,1113,149,908
"2003","합계",금천구,18,641,21557,807,118,653
"2003","합계",영등포구,21,863,29953,1093,141,872
"2003","합계",동작구,18,764,27313,951,122,761
"2003","합계",관악구,21,917,33597,1155,139,940
"2003","합계",서초구,20,634,22550,801,131,637
"2003","합계",강남구,30,990,35007,1235,204,1009
"2003","합계",송파구,33,1365,49407,1705,221,1403
"2003","합계",강동구,25,1080,38539,1327,173,1087
"2004","합계",종로구,14,366,11256,452,76,377
"2004","합계",중구,12,363,11293,446,99,389
"2004","합계",용산구,15,448,13371,554,86,469
"2004","합계",성동구,16,704,23023,857,116,728
"2004","합계",광진구,21,831,29375,1017,154,851
"2004","합계",동대문구,20,782,26752,953,144,825
"2004","합계",중랑구,21,1016,33894,1217,152,1038
"2004","합계",성북구,26,958,30202,1142,169,993
"2004","합계",강북구,14,671,23067,818,99,692
"2004","합계",도봉구,23,974,32831,1169,162,1020
"2004","합계",노원구,42,1592,54174,1926,273,1669
"2004","합계",은평구,24,997,37397,1189,151,1041
"2004","합계",서대문구,18,707,24423,841,128,724
"2004","합계",마포구,20,748,24949,926,139,795
"2004","합계",양천구,27,1110,40827,1361,185,1136
"2004","합계",강서구,32,1176,41157,1449,215,1204
"2004","합계",구로구,23,923,30310,1126,154,971
"2004","합계",금천구,18,647,20761,805,115,677
"2004","합계",영등포구,21,870,29024,1091,142,902
"2004","합계",동작구,18,769,26511,956,125,780
"2004","합계",관악구,21,937,32603,1183,139,968
"2004","합계",서초구,20,665,22783,833,131,684
"2004","합계",강남구,30,1031,33691,1290,201,1064
"2004","합계",송파구,33,1319,46175,1648,208,1433
"2004","합계",강동구,25,1091,36861,1337,176,1127
"2005","합계",종로구,14,362,10683,456,77,380
