 #1 (Full-water) N=2,,,,,,,,#2 (Needle-water) N=2,,,,,,,,#3 (Full-DMSO) N=2,,,,,,
time (min),area,con(ug/ml),amount(ug),cumulative drug amount(ug),평균 누적 약물량(ug),표준편차(ug),,time (min),area,con(ug/ml),amount(ug),cumulative drug amount(ug),평균 누적 약물량(ug),표준편차(ug),,time (min),area,con(ug/ml),amount(ug),cumulative drug amount(ug),평균 누적 약물량(ug),표준편차(ug)
0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
5,1.2,0.75037335,3.751866748,3.751866748,3.751866748,0.449457677,,5,1.7,0.877499178,4.38749589,4.38749589,4.38749589,0.359566142,,5,1.3,0.775798515,3.878992576,3.878992576,3.878992576,2.742861955
,0.7,0.623247521,3.116237605,3.116237605,,,,,2.1,0.979199841,4.895999204,4.895999204,,,,,1.6,0.852074012,0,0,,
20,4.6,1.614828984,8.074144918,11.82601167,11.82601167,0.98880689,,20,3.6,1.360577327,6.802886633,11.19038252,11.19038252,0.269674606,,20,2,0.953774675,4.768873376,8.647865952,8.647865952,0.98880689
,3.5,1.335152161,6.675760804,9.791998409,,,,,3.9,1.436852824,7.184264118,12.08026332,,,,,3.1,1.233451498,6.16725749,6.16725749,,
30,3.3,1.284301829,6.421509147,18.24752081,18.24752081,0.449457677,,30,3,1.208026332,6.040131661,17.23051418,17.23051418,0.449457677,,30,1.5,0.826648847,4.133244233,12.78111019,12.78111019,1.438264567
,2.8,1.157176001,5.785880004,15.57787841,,,,,2.5,1.080900504,5.404502519,17.48476584,,,,,3.1,1.233451498,6.16725749,12.33451498,,
40,2.8,1.157176001,5.785880004,24.03340082,24.03340082,0.629240748,,40,2.5,1.080900504,5.404502519,22.6350167,22.6350167,0.089891535,,40,1,0.699523018,3.49761509,16.27872528,16.27872528,0.629240748
,2.1,0.979199841,4.895999204,20.47387762,,,,,2.6,1.106325669,5.531628347,23.01639419,,,,,1.7,0.877499178,4.38749589,16.72201087,,
50,2.5,1.080900504,5.404502519,29.43790334,29.43790334,0.359566142,,50,1.9,0.928349509,4.641747547,27.27676425,27.27676425,0.089891535,,50,1.3,0.775798515,3.878992576,20.15771785,20.15771785,0
,2.1,0.979199841,4.895999204,25.36987682,,,,,2,0.953774675,4.768873376,27.78526756,,,,,1.3,0.775798515,3.878992576,20.60100345,,
60,1.7,0.877499178,4.38749589,33.82539923,33.82539923,0.179783071,,60,2.2,1.004625007,5.023125033,32.29988928,32.29988928,0.629240748,,60,1.1,0.724948184,3.624740919,23.78245877,23.78245877,0.089891535
,1.9,0.928349509,4.641747547,30.01162437,,,,,1.5,0.826648847,4.133244233,31.9185118,,,,,1,0.699523018,3.49761509,24.09861854,,
90,4.3,1.538553486,7.692767432,41.51816666,41.51816666,0.539349213,,90,4.8,1.665679315,8.328396575,40.62828586,40.62828586,0.809023819,,90,1.1,0.724948184,3.624740919,27.40719969,27.40719969,2.516962992
,4.9,1.691104481,8.455522404,38.46714677,,,,,3.9,1.436852824,7.184264118,39.10277592,,,,,3.9,1.436852824,7.184264118,31.28288265,,
120,4.5,1.589403818,7.94701909,49.46518575,49.46518575,0.898915354,,120,1.4,0.801223681,4.006118405,44.63440426,44.63440426,0.98880689,,120,3,1.208026332,6.040131661,33.44733135,33.44733135,0.809023819
,3.5,1.335152161,6.675760804,45.14290758,,,,,2.5,1.080900504,5.404502519,44.50727843,,,,,3.9,1.436852824,7.184264118,38.46714677,,
150,3.7,1.386002492,6.930012461,56.39519821,56.39519821,0.719132283,,150,1.1,0.724948184,3.624740919,48.25914518,48.25914518,0.359566142,,150,2.2,1.004625007,5.023125033,38.47045638,38.47045638,1.078698425
,2.9,1.182601167,5.913005833,51.05591341,,,,,1.5,0.826648847,4.133244233,48.64052267,,,,,3.4,1.309726995,6.548634976,45.01578175,,
180,3,1.208026332,6.040131661,62.43532987,62.43532987,0.898915354,,180,1,0.699523018,3.49761509,51.75676027,51.75676027,0.179783071,,180,2.2,1.004625007,5.023125033,43.49358142,43.49358142,0.359566142
,2,0.953774675,4.768873376,55.82478679,,,,,1.2,0.75037335,3.751866748,52.39238941,,,,,2.6,1.106325669,5.531628347,50.5474101,,
210,2.7,1.131750835,5.658754176,68.09408405,68.09408405,0.539349213,,210,1.1,0.724948184,3.624740919,55.38150119,55.38150119,0,,210,2.2,1.004625007,5.023125033,48.51670645,48.51670645,0.359566142
,2.1,0.979199841,4.895999204,60.72078599,,,,,1.1,0.724948184,3.624740919,56.01713033,,,,,2.6,1.106325669,5.531628347,56.07903844,,
240,2,0.953774675,4.768873376,72.86295742,72.86295742,0.269674606,,240,2.2,1.004625007,5.023125033,60.40462622,60.40462622,0.809023819,,240,0.4,0.546972024,2.734860119,51.25156657,51.25156657,0.179783071
,2.3,1.030050172,5.150250862,65.87103685,,,,,1.3,0.775798515,3.878992576,59.89612291,,,,,0.6,0.597822355,2.989111776,59.06815022,,
