건강증진센터명,건강증진센터구분,소재지도로명주소,소재지지번주소,위도,경도,건강증진업무내용,운영시작시각,운영종료시각,휴무일정보,건물면적,의사수,간호사수,사회복지사수,영양사수,기타인력현황,기타이용안내,운영기관전화번호,운영기관명,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
맞춤형건강클리닉,건강증진,인천광역시 연수구 함박뫼로 13,인천광역시 연수구 청학동 465-4,37.41913159,126.6711606,"치매검진, 당뇨.고혈압 상담 및 검사, 뇌경색.심뇌혈관질환, 정신건강 상담",09:00,18:00,"일요일, 공휴일",30,0,5,0,0,0,검사전날 오후8시 전까지 식사마치고 검사당일 아침 금식,032-749-8104,맞춤형건강클리닉,032-749-8122,인천광역시 연수구 보건소,2021-10-25,3520000,인천광역시 연수구
정신건강복지센터,정신보건,경상북도 청송군 청송읍 의료원길 19,경상북도 청송군 청송읍 금곡리 1056-54,36.431132,129.051804,중증정신질환자 관리+정신건강증진사업+아동청소년 정신건강증진사업+자살예방사업,09:00,17:00,토+일+공휴일,413.87,0,4,1,0,0,,054-870-7362,경상북도 청송군 보건의료원,054-870-7361,경상북도 청송군 보건의료원,2022-12-09,5160000,경상북도 청송군
중구정신건강복지센터,정신보건,인천광역시 중구 참외전로72번길 21,인천광역시 중구 전동 2-1,37.47721729,126.6291077,정신건강사업+생명피움사업+종합자가검진 및 상담제공,09:00,18:00,토+일+공휴일,424.85,1,5,12,0,작업치료사(2)+행정요원(1),전화 예약 후 내소 / 전화 및 온라인상담 가능,032-760-6090,인하대학교의과대학부속병원,032-760-6062,인천광역시 중구보건소,2022-11-29,3490000,인천광역시 중구
의령군정신건강복지센터,정신보건,경상남도 의령군 의령읍 의병로8길 16,경상남도 의령군 의령읍 서동리 534,35.3178199,128.2547693,정신질환 예방ㆍ상담ㆍ치료연계+정신질환자 주간재활프로그램 운영+자살예방 및 정신건강증진 교육 등 군민정신건강증진 도모,09:00,18:00,토+일+공휴일,229.8,0,6,1,0,0,정신건강위기상담전화 운영 1577-0199,055-570-4091,의령군보건소,055-570-4022,경상남도 의령군청,2022-12-05,5390000,경상남도 의령군
고성군정신건강복지센터,정신보건,강원도 고성군 간성읍 수성로 30,강원도 고성군 간성읍 신안리 178,38.37761662,128.472194,자살예방+정신건강증진,09:00,18:00,공휴일,,0,4,1,0,보건직(1),,033-680-4001,강원도 고성군보건소,033-680-3541,강원도 고성군보건소,2022-12-01,4340000,강원도 고성군
남부건강생활지원센터,건강증진,강원도 강릉시 성덕포남로 80-22,강원도 강릉시 입암동 59,37.76324924,128.9188369,모바일헬스케어사업+소생활권맞춤형건강증진사업+심뇌혈관질환예방관리사업+한의약건강증진사업+건강한성덕동만들기,09:00,18:00,공휴일,1040.674,1,7,0,2,운동처방사(2)+기타행정인력(2),,033-660-2483,강릉시보건소,033-660-2483,강릉시보건소,2022-11-21,4200000,강원도 강릉시
영동군정신건강복지센터,정신보건,충청북도 영동군 영동읍 반곡동길 7,,36.16849628,127.7759673,정신건강증진+자살예방+아동청소년정신보건,09:00,18:00,토요일+일요일+법정공휴일,978,0,6,6,0,0,,043-740-5924,영동군보건소,043-740-5924,충청북도 영동군 보건소,2022-11-28,4440000,충청북도 영동군
부산서구정신건강복지센터,정신보건,부산광역시 서구 구덕로 127,부산광역시 서구 토성동5가 56-4,35.09631393,129.0220635,중증정신질환자관리사업+정신건강증진사업+아동청소년정신보건사업+자살예방사업,09:00,18:00,토+일+공휴일,660,1,4,7,0,임상심리사(4)작업치료사(1)회계담당(1),상담시 전화예약,051-246-1981,부산대학교병원,051-242-4000,부산광역시 서구 보건소,2022-11-24,3260000,부산광역시 서구
광주광역정신건강복지센터,정신보건,광주광역시 광산구 무진대로 246,,35.16108692,126.807107,정신건강사업 기획+홍보+매뉴얼 개발+지역사회 네트워크 구축,09:00,18:00,토+일+공휴일,,1,12,32,,,,062-600-1930,,062-613-3341,광주광역시청,2022-11-28,6290000,광주광역시
문경시정신건강복지센터,정신보건,"경상북도 문경시 점촌1길 13, 2층",경상북도 문경시 점촌동 232,36.5963534774,128.1980094333,중증 정신질환자 관리사업+정신건강증진·환경 조성사업+자살예방사업,09:00,18:00,토+일+공휴일,169.64,1,6,6,0,,,054-554-0802,문경대학교,054-550-8081,문경시보건소,2022-11-25,5120000,경상북도 문경시
