보행자전용도로명,시도명,시군구명,법정동명,지정일자,운영방식구분,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,보행자전용도로시작점위도,보행자전용도로시작점경도,보행자전용도로종료점위도,보행자전용도로종료점경도,자전거보행자겸용도로구분,보행자전용도로폭,보차분리여부,지정목적,관리점검일자,관리점검결과,유지보수내용,영상정보기처리기기설치개수,보안등설치개수,횡단보도설치개수,방호울타리설치개수,차량진입억제용말뚝설치개수,속도저감시설설치개수,교통표지판설치개수,이정표설치개수,점자블럭설치개수,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
소로3-안영13호선,대전광역시,중구,안영동,1998-09-08,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2022-08-01,3650000,대전광역시 중구
소로3-안영14호선,대전광역시,중구,안영동,1998-02-28,전일제,00:00,23:59,00:00,23:59,36.2887373,127.380335,36.2890476,127.381961,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2022-08-01,3650000,대전광역시 중구
소로3-안영15호선,대전광역시,중구,안영동,1998-09-08,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2022-08-01,3650000,대전광역시 중구
소로3-안영16호선,대전광역시,중구,안영동,1998-09-08,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2022-08-01,3650000,대전광역시 중구
소로3-안영17호선,대전광역시,중구,안영동,1998-02-28,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2022-08-01,3650000,대전광역시 중구
소로3-안영18호선,대전광역시,중구,안영동,1998-02-28,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2022-08-01,3650000,대전광역시 중구
소로3-안영19호선,대전광역시,중구,안영동,1998-02-28,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2022-08-01,3650000,대전광역시 중구
소로4-안영1호선,대전광역시,중구,안영동,1997-11-05,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.284339,127.386168,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2022-08-01,3650000,대전광역시 중구
소로3-용두37호선,대전광역시,중구,용두동,2008-12-26,전일제,00:00,23:59,00:00,23:59,36.334622,127.400683,36.3335662,127.409121,전용,3,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2022-08-01,3650000,대전광역시 중구
소로3-태평25호선,대전광역시,중구,태평동,2008-06-27,전일제,00:00,23:59,00:00,23:59,36.3269067,127.401056,36.3258958,127.401541,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2022-08-01,3650000,대전광역시 중구
