시점,구·군별(1),베트남,중국,한국계 중국인,미국,인도네시아,필리핀,우즈베키스탄,타이완,일본,미얀마,한국계 러시아인,캄보디아,러시아(연방),네팔,캐나다,스리랑카,파키스탄,타이,몽골
시점,구·군별(1),계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
2020.1,부산광역시,11393,7503,5080,2608,2561,1749,1730,1425,1297,1241,1097,1038,1034,981,796,664,611,582,512
2020.11,부산광역시,11378,7445,5017,2615,2521,1735,1707,1417,1289,1196,1090,1024,1019,978,796,652,600,573,517
2020.12,부산광역시,11320,7352,4972,2644,2520,1729,1690,1403,1278,1205,1080,1013,992,977,797,636,597,566,514
2021.01,부산광역시,11305,7140,4923,2644,2519,1717,1658,1389,1288,1188,1073,1019,980,982,797,622,595,564,510
2021.02,부산광역시,11341,6904,4866,2647,2498,1702,1621,1390,1271,1184,1060,1023,966,970,787,612,588,556,512
2021.03,부산광역시,11423,7133,4810,2671,2507,1695,1613,1407,1351,1196,1061,1030,971,959,785,592,588,567,512
2021.04,부산광역시,11339,7139,4763,2685,2470,1679,1621,1399,1365,1191,1059,1053,979,935,787,581,586,575,514
2021.05,부산광역시,11238,7079,4705,2674,2410,1669,1659,1397,1368,1171,1046,1063,969,937,786,574,590,577,494
2021.06,부산광역시,11232,6979,4670,2651,2472,1655,1651,1392,1390,1215,1039,1086,965,935,795,579,583,571,495
2021.07,부산광역시,11179,6786,4633,2654,2494,1628,1635,1381,1380,1211,1040,1086,971,929,798,576,569,564,492
2021.08,부산광역시,11121,6628,4588,2666,2488,1614,1621,1374,1359,1204,1030,1084,961,924,794,556,575,557,483
2021.09,부산광역시,11077,7065,4566,2709,2492,1616,1613,1403,1486,1208,1029,1098,982,922,801,551,573,574,489
2021.1,부산광역시,11043,7064,4576,2739,2465,1606,1590,1389,1494,1222,1031,1088,990,914,806,551,567,575,488
2021.11,부산광역시,10982,7071,4590,2749,2453,1607,1587,1384,1461,1198,1047,1073,976,917,816,555,566,600,487
2021.12,부산광역시,10903,6898,4589,2746,2498,1618,1576,1370,1445,1199,1054,1080,973,904,824,549,559,603,487
2022.01,부산광역시,10843,6741,4566,2769,2576,1621,1583,1365,1439,1189,1065,1088,963,908,834,538,558,612,493
2022.02,부산광역시,10717,6614,4536,2768,2615,1617,1580,1356,1387,1211,1074,1085,963,893,834,538,558,610,497
2022.03,부산광역시,10544,6922,4506,2786,2653,1621,1562,1372,1507,1251,1072,1089,988,891,842,534,557,625,509
2022.04,부산광역시,10529,6835,4471,2807,2692,1644,1562,1373,1523,1269,1072,1102,1003,893,859,537,562,640,513
2022.05,부산광역시,10523,6797,4456,2841,2714,1664,1578,1365,1512,1304,1071,1086,1011,902,882,547,574,646,516
2022.06,부산광역시,10644,6775,4444,2831,2780,1676,1605,1363,1526,1321,1086,1085,1019,899,881,547,582,645,521
2022.07,부산광역시,10676,6720,4434,2838,2829,1682,1637,1349,1524,1314,1107,1071,1025,888,879,563,601,639,521
2022.08,부산광역시,10714,6694,4425,2860,2844,1689,1678,1338,1482,1327,1102,1067,1014,889,874,574,607,634,534
2022.09,부산광역시,10954,6820,4394,2916,2935,1699,1789,1357,1587,1370,1108,1070,1035,913,877,596,604,640,570
2022.1,부산광역시,11079,6828,4379,2916,2976,1706,1898,1361,1601,1381,1110,1070,1033,949,878,592,610,617,567
2022.11,부산광역시,11232,6897,4364,2961,3047,1750,2006,1356,1589,1430,1149,1127,1041,995,895,626,615,628,581
